<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 427 >	27 Tshewén:narahkw ne Roiá:ner, sénha enhsonhnhé:son. Ne ionkwe'táksen's ronnihé:ions ohén:ton tsi niió:re ienkáhewe'.
<MOH id = 428 >	28 Nahò:ten' ne tionkwe'taié:ri ronhská:neks eh tho nón:we ieniakoia'ténhawe' tsi nonkwá: natonhnhahráhtshera', nok ne ionkwe'táksen's iah othé:nen tehotihrharahtsherá:ien tsi nahò:ten' ronhská:neks. "Roiá:ner shakoia'tanónhstats ne iakorihwakwaríhsion, nok enhshakorihwáhton'te' nónhka iah tetierihwaié:rits.
<MOH id = 431 >	30 Nón:kwe tiakorihwaié:ri tiótkon skén:nen tsi ratinákere', nok ne iah tetiakorihwaié:ri iah ki' tho thahatinákereke' tsi ionhwentsá:te'.
<MOH id = 432 >	31 Tiakorihwaié:ri nón:kwe nek tiontá:tis ne karihwí:io's, nok ne awen'náhson entkawenníneken'ne' karihwáksen tenkatáhston' ki'.
<MOH id = 433 >	32 Thotirihwaié:ri kawenní:io’s nahò:ten' enthatiwenníneken'ne' nok ne ronnonkwe'táksen's nek ne thatiwenníneken's ne ahshakoti'nikonhrakaré:wahte'.
<MOH id = 434 >	
<MOH id = 435 >	11 Roiá:ner ráhswens nónhka ie'nikonhrhà:tha' naiekon'tsherihá:ren'. Rotonhnháhere' nónhka tkaié:ri tsi ní:tsi iekon'tsheriháhrha'.
<MOH id = 436 >	2 Nón:kwe nónhka iontatkweniénhstha' iosnó:re' eniontéhen', ne ká:ti' sénha ioiánere' ne tóhsa ahsatatkwénienhste'. Ne wattokhahtsherí:io.
<MOH id = 437 >	3 Tóka' tehsonkwe'taié:ri ne ki' ensaianénhawe' ne tkarihwaié:ri. Nón:kwe ne iah thaón:ton' nahsheniáhese' ronónha ki' enhontatáhton'te' tsi iah tehotirihwakwaríhsion.
<MOH id = 439 >	 
<MOH id = 440 >	****** Result for Image/Page 22 ******

<MOH id = 443 >	4 Kakwatshéhsera' iah othé:nen thaiesaia'takéhnha' nó:nen entewenhniserá:teke' tensáhkwa'te' kenhé:ion, tóka' sarihwakwaríhsion ensa'niá:kenhte' tsi sónhnhe'.
<MOH id = 444 >	5 Aterihwakwarihsiónhtshera' ne tionkwe'taié:ri sénha watié:sen tiakó:wis tsi iakónhnhe', nok ne iah tetiakorihwaié:ri ronónha ki' ienhontatià:tenhte'.
<MOH id = 445 >	6 Ne kaiánere' iako'niakénhtha' nónhka iakorihwakwaríhsion, nok tóka' ónhka iah thahsheniáhese' ronónha enhontáthnerenke' ne tsi nihonatétshen.
<MOH id = 446 >	7 Nó:nen ne iah tethotirihwaié:ri enhonníheie' raonahskanéktshera' ò:ni' enkénheie'. Tóka' kakwatshéhsera' ahseniáhehse' kwah nen' nè:'e iah othé:nen tetkáhas.
<MOH id = 447 >	8 Ne tionkwe'taié:ri iakoia'tanónhstats ne othé:nen taion'nikonhrhá:ren', nok ne enhatiié:na' ka'nikonhrharáhtshera' ne iah tethotirihwaié:ri.
<MOH id = 448 >	9 Enwá:ton' eniesakarón:ni' tsi rotíhthare' ne iah tehotiniiohserá:ien nok ne ronte'nikonhrattókha' eniesa'niá:kenhte'.
<MOH id = 449 >	10 Tsi kaná:taien ronatonhnháhere' nón:kwe ne thotirihwaié:ri nó:nen tho niiohtonhátie' tsi nihotirihò:ten', tánon' ronatshennón:ni nó:nen enhonníheie' ne iah tethotirihwaié:ri.
<MOH id = 450 >	11 Tsi kaná:taien enkahsennowáhnha' ne tionkwe'taié:ri's enkonwaia'taté:rihste', nok ne enken'táksa'te' raotiwén:na' ne iah tethotirihwaié:ri.
<MOH id = 451 >	12 Teiotenonhwarorì:tonte' ónhka ahshekenhren'serón:ni'. Tóka' tesa'nikonhráthe' tha'tenhsató:tate ki'.
<MOH id = 452 >	13 Iah ónhka ne teierihwenhawíhtha' thahsheniáhese' tsi nahò:ten' ioterihwahséhton, nok enwá:ton' enhsheniáhese' nónhka tiakonkwe’taié:ri.
<MOH id = 453 >	14 Tsi kanakerahserá:ien enkaia'táhton' tóka' iah teká:ien nónhka ahatinèn:rine'. Tóka' é:so rotí:ien ne thonte'nikonhratkà:was ne shakoti'nikonhrá:wis ne kén:ton tsi enhotiia'tahnirónhake'.
<MOH id = 455 >	15 Tóka' enhserihwanòn:we'ne' nahskária'ke' ne iah tehtshienté:ri rotká:rote', ensehsatateri'wáhsten'. Ne sénha ioiánere' sarihwà:ke ne tóhsa tahserihwáhsnie'ne'.
<MOH id = 456 >	 
<MOH id = 457 >	****** Result for Image/Page 23 ******

<MOH id = 460 >	16 Iakón:kwe ne iakotonkwe'tatkwéniens tánon' tiakorihwaié:ri enhshekwénienhste' ki'. Iotéha ne iakón:kwe iah teiakotonkwe'tatkwéniens. Nónhka iakentóhrha' iah ki' nonwén:ton thaiakohwistaién:take', nok nón:kwe iakohskehnhà:se' eniakokwátshe'ne'.
<MOH id = 462 >	17 Entehsataterihwaié:ritste' tóka' tisarihwaié:ri. Tóka' sonkwe'táksen í:se' khok enhsatatkaré:wahte'.
<MOH id = 463 >	18 Nónhka ne iah tetiakorihwaié:ri iah othé:nen kwah tha'taiontèn:tsha'. Nok tóka' tho nénhsiere' tsi nahò:ten' tkaié:ri kwah ki' iorihwí:io tsi tensaterihwa'serákwahse'.
<MOH id = 464 >	19 Nónhka iakote'nikonhríson ne tkaié:ri eniakónhnheke', nok ne ónhka entiekón:tahkwe' ne iah tetkaié:ri eniaíheie'.
<MOH id = 465 >	20 Roiá:ner ráhswens nónhka wahétken ionnonhtónnion, nok shakonorónhkhwa' nónhka tierihwaié:rits.
<MOH id = 466 >	21 Saterièn:tarak ne iah tetiakorihwaié:ri enionthré:wahte' nok nónhka tiakorihwaié:ri enie'niá:ken'ne' naionthré:wahte'.
<MOH id = 467 >	22 Ión:kwe ne ioia'táhskats tánon' iah tewattókha' ne aontaionte'nién:tenhste' ohwistanó:ron anihsnónhsawi kwéskwes ka'nionhsà:ke aieniión:ten'.
<MOH id = 468 >	23 Tiótkon tkáhas ne ioiánere' tsi nahò:ten' tehonatonhwentsó:ni ne thotirihwaié:ri; nok ne iah tethotirihwaié:ri othé:nen enhatiié:na' onkwe'takwé:kon eniakonà:khwen'!
<MOH id = 469 >	24 Ótia'ke' nón:kwe rontiesáhtha' raotihwísta' tánon' sha'té:ioht tsi sénha enhotikwátshe'ne'. Ronátia'ke' rati'nikòn:rare', tánon' sha'té:ioht tsi sénha enhotiténhta'ne'. 
<MOH id = 470 >	25 Tasarihwaié:rik tho néntewe' ensakwátshe'ne'. Shehsnié:nen nakohrèn:shon tánon' í:se' ò:ni' eniesahsnié:nen'.
<MOH id = 471 >	26 Ón:kwe enhonwakenhren'serón:ni' nónhka rateweièn:tons ká:nen, rohrhá:re' ne sénha aonthará:tate' tsi nikanó:ron, nok tenhonwanonhwerá:ton' nónhka óksa'k enhatkè:ron'.
<MOH id = 472 >	27 Tóka' ioiánere' tsi nahò:ten' íhsehre' ahsaterihwahténhtia'te' eniesakwénienhste'. Nok tóka' ne sesakonhátie' tahsheia'nikonhrhá:ren' ka'nikonhrharáhtshera' ki' enhsié:na'.
<MOH id = 473 >	 

<MOH id = 477 >	28 Nónhka ne teiekà:nere' akokwatshéhsera' tho neniá:wen'ne' tsi ní:ioht ne kanenna'kè:ne iotenerahtaténion, nok ne tiakorihwaié:ri eniakokwátshe'ne' tsi ní:ioht ne ónerahte' ióhskats ne akenhnhà:ke.
<MOH id = 478 >	29 Nónhka tiéhas kahwatsí:rakon ne ka'nikonhrharáhtshera' iah ki' othé:nen thia'tahonatá:tenre'. Nónhka iakononhwaró:ri tiótkon kahnháhtshera' enkénhake' ne ronttokhahtsherí:io.
<MOH id = 479 >	30 Tkarihwaié:ri tiakó:wis natónhnhets, nok ne ateriiohsera'ón:we akwé:kon ienskáhawe'.
<MOH id = 480 >	31 Nónhka tiakorihwaié:ri teniakoterihwa'serákwahse' kèn:'en tsi ionhwentsá:te', kwah ká:ti' orihwí:io saterièn:tarak nónhka iah tetiakorihwaié:ri tánon' iakorihwanéren tsi enionthré:wahte'.

<MOH id = 484 >	12 Nónhka ienorónhkhwa' ne karihonnienníhtshera' eniontshennón:ni' nahshehró:ri' nahò:ten' iah tethotirihwaierí:ton. Iah ki' tewattokhahtsherí:io nónhka iéhswens naiontaterihwakwaríhsien'.
<MOH id = 486 >	2 Roiá:ner rawerien'tí:io's nón:kwe tiakorihwaié:ri, enhshakohré:wahte' nónhka ionte'nikonhrón:nis ne karihwáksen.
<MOH id = 487 >	3 Karihwanera'ákhsera' iah teiakó:wis skén:nen aionnonhtónnionhwe', nok ne thotirihwaié:ri énska'k ne tsi nihotirihwahní:ron.
<MOH id = 488 >	4 Rón:kwe roniá:kon ne tiakorihwaié:ri nè:'e raotonhnhahráhtshera' tánon' raonaiéhsera'; nok ne rón:kwe roniá:kon ne thonwá:wis atehénhsera' kwah ne shà:ka ne takwa'áhson raohstièn:takon aóntien'.
<MOH id = 489 >	5 Nón:kwe iakorihwakwaríhsion ioiánere' tsi teniesarihwáhsnie'se'; nónhka iah tetiakorihwaié:ri nek ne aiesa'nikonhrhà:ten'.
<MOH id = 490 >	6 Raotiwén:na' ne rotirihwanera'ákskon iakohséhtha', nok ne raotiwén:na' ne thotirihwaié:ri eniako'niá:kenhte' nónhka iontathteronhkwén:nis.
<MOH id = 491 >	7 Rotirihwanera'ákskon ne ienhotiià:tenhte' tánon' iah othé:nen thahonthwatsirón:ni', nok ne thotirihwaié:ri raotihwá:tsire' enhonnónhnheke'.
<MOH id = 492 >	 
<MOH id = 493 >	****** Result for Image/Page 25 ******

<MOH id = 496 >	8 Tóka' tesa'nikonhráthe', eniesahsennakará:tate'; tóka' iah tehsate'nikonhrattókha', nón:kwe ehtà:ke eniehsón:ni'.
<MOH id = 497 >	9 Ne sénha ioiánere' sha'tetisewátte' skátne aiesewaió'ten' naietsónhnheke' tsi ní:ioht ne ahsatathará:tate' nok ahsatonhkária'ke'.
<MOH id = 498 >	10 Tionkwe'taié:ri tehshakotíhsnie' raotitshenen'ó:kon, nok ne rotirihwanera'ákskon shakotiiesáhtha' nen' nè:'e.
<MOH id = 499 >	11 Raiénthos ne rotste'niá:ron é:so ki' enhoién:take' nahò:ten' à:rake' nok ne tehotenonhwarorì:tonte' ratenhniserakaiónhstha' iah othé:nen tekarihwáhsta tsi nihatiéhrha'.
<MOH id = 500 >	12 Akwé:kon nón:kwe ne iah tethotirihwaié:ri nek tehonatonhwentsó:ni ahatitshén:ri' tsi nahò:ten' karihwáksen ken' niahatí:iere', nok ne tionkwe'taié:ri tiótkon ne rotirihwahní:ron.
<MOH id = 501 >	13 Ne iah tethotirihwaié:ri ne ienhotiià:tenhte' ne raotiwén:na', nok ne rotirihwakwaríhsion iah nen' nè:'e tha'tahon'nikonhrhá:ren'.
<MOH id = 502 >	14 Ne tkawenní:io tsi nahò:ten' tensaterihwa'serákwahse' tsi nahò:ten' enhsì:ron' tánon' tsi nenhsátiere', ne enhsié:na' tsi ki' nahò:ten' tesatèn:tshon.
<MOH id = 503 >	15 Nón:kwe ne iah tha'tehoti'nikonhráthe' tiótkon rón:nehre' thatiié:rits tsi nihontiéhrha'. Ne tehoti'nikonhráthe' enhontahónhsatate' nahò:ten' ahonwati'nikòn:ron'.
<MOH id = 504 >	16 Nó:nen tehotenonhwarorì:tonte' enhonà:khwen', óksa'k wè:ne' enhrón:ni'. Nón:kwe ne teiako'nikonhráthe' iah wè:ne' thahonnón:ni' nahonwati'nikonhrakaré:wahte'.
<MOH id = 505 >	17 Nó:nen tkaié:ri tsi nahò:ten' entehsatá:ti', aterihwakwarihsiónhtshera' ki' enwatkwé:ni' nok ne onó:wen nek nè:'e tkáhas ne iah teioterihwakwaríhsion.
<MOH id = 506 >	18 Iah tewanonhtonnionhtsherí:io nowenna'shòn:'a tho ní:tsi ensakaré:wahte' tsi ní:ioht ne a'share'kó:wa, sok ne tkawennaié:ri's enwá:ton' ensátsen'te'.
<MOH id = 507 >	19 Onó:wen ken' niionhnhésha, nok ne tkarihwaié:ri enionhnhe'ón:we' nen' nè:'e.
<MOH id = 508 >	 
<MOH id = 509 >	****** Result for Image/Page 26 ******

<MOH id = 512 >	20 Nónhka ronte'nikonhrón:nis ne karihwahétken kwah í:ken tsi enshontateri'wáhsten', nónhka iakoió'te' ne ioiánere' enietshén:ri' atonhnhahráhtshera'.
<MOH id = 513 >	21 Iah othé:nen thaiakoià:tawen' ne wahétken ne tiakorihwaié:ri, nok ne iah tetionkwe'taié:ri nek ne enhatiié:na' ne tahon'nikonhrhá:ren'.
<MOH id = 514 >	22 Roiá:ner shakotahkwáhswens ne iakonó:wen, nok rawerien'tí:io's nónhka tho nenié:iere' tsi nahò:ten' iakorihwíson.
<MOH id = 515 >	23 Nón:kwe ne teiako'nikonhráthe' tha'teniontó:tate' tsi nahò:ten' iakoterién:tare', nok ne iah tha'tehoti'nikonhráthe' enhatirihó:wanahte' tsi iah tekarihonnién:ni.
<MOH id = 516 >	24 Ioio'tenhserahní:ron entí:son' ka'shatsténhsera'; awentoráhsera' entkáhawe' ne kanahskwaiesáhton.
<MOH id = 517 >	25 Ka'nikonhrharáhtshera' ensanénhsko' ne atonhnhahráhtshera', nok ne kawenní:io's ensa'nikonhrakétsko'.
<MOH id = 518 >	26 Nónhka thorihwaié:ri enhoianénhawe' ne ronatén:ro, nok né:ne ronathahitáhkhe' iah tethotirihwaié:ri enhontia'táhton'.
<MOH id = 519 >	27 Tóka' sentóhrha', iah nonwén:ton thiahsié:na' nahò:ten' sesakonhátie', tóka' saio'tèn:tskon/satshà:ni enhsié:na' ki' ne ahtsho'kowáhtshera'.
<MOH id = 520 >	28 Aterihwakwarihsiónhtshera' niiothahí:non ne ionhnhe'ón:we; ok ne karihwanéren tho ne iothahí:non ne kenhé:ion.

<MOH id = 523 >	13 Ratiksa'okòn:'a ne ronte'nikonhrattókha' enhshakonatahónhsatate' ronwatiien'okòn:'a nó:nen enhshakotirihwakwaríhsien', sok ne rati'nikonhráksen só:tsi rontatón:ni iah tehón:nehre' ahonthró:ri' nahò:ten' iah tetkaié:ri tsi nihontiéhrha'.
<MOH id = 524 >	2 Nón:kwe ne tiakorihwaié:ri teniakoterihwa'serákwahse' tsi nahò:ten' entiewenníneken'ne', sok ne shakoti'nikonhrha'tén:nis ne khok rontonhkarià:ktha' ne tahshakoti'nikonhrhá:ren'.
<MOH id = 526 >	3 Se'nikòn:rarak tsi nahò:ten' enhsì:ron' tánon' enhsenónhstate' tsi sónhnhe'. Nónhka iah teha'nikòn:rare' tsi nahò:ten' thatá:tis enhoia'táhton'te'.

<MOH id = 529 >	****** Result for Image/Page 27 ******

<MOH id = 532 >	4 iah othé:nen tekáhsta nahò:ten' tehotonhwentsó:ni ne rentóhrha', iah ki' nonwén:ton thiahaié:na'. Ne rotshà:ni akwé:kon nen' nè:'e enhaié:na' tsi nahò:ten' tehotonhwentsó:ni.
<MOH id = 533 >	5 Nón:kwe tionkwe'taié:ri iéhswens ne onó:wen, nok ne raotiwenna'shòn:'a ne iah tetionkwe'taié:ri iotéha tánon' iah teiotkwéniens.
<MOH id = 534 >	6 Tkarihwaié:ri iakoia'tanónhstats ne iah othé:nen teiako'nhì:kon; karihwanéren ne ieniakoià:tenhte' ne rotirihwanera'ákskon.
<MOH id = 535 >	7 Ótia'ke' nón:kwe í:ienhre' iakokwátshe', nok iah othé:nen teiakó:ien, ótia'ke' í:ienhre' iakó:ten nok é:so kakwatshéhsera' iakó:ien.
<MOH id = 536 >	8 Ne rotikwátshe' ó:nen'k tsi raotihwísta' énhontste' nahati'niá:kenhte' tsi ronnónhnhe', nok ne rotí:ten iah ne ónhka thaón:ton' nahonwatihterónhkwen'.
<MOH id = 537 >	9 Ne tionkwe'taié:ri tsi shí:ken ní:ne akwáh teiohahseráthe' tsi teiohswáthe'; nok ne rotirihwanera'ákskon kwah nen' nè:'e tsi shí:ken ní:ioht ne tewani'tonhkwaríkhons ó:nen thó:ha aòn:swa' ne oháhsera'.
<MOH id = 538 >	10 Aontatonníhtshera' nek tkáhas taion'nikonhrhá:ren'. Ne sénha wattokhahtsherí:io nahseri'wanón:ton' naiesa'nikòn:ron'.
<MOH id = 539 >	11 Tóka' só:tsi watié:sen tsi enhsakwátshe'ne' sénha iosnó:re' entsisá:ti'. Tóka' sénha wentó:re' tahsatèn:tsha' sénha ki' é:so ensaién:take'.
<MOH id = 540 >	12 Nó:nen ahskanéktshera' tewaskwa'serontáhkwen, awé:ri ki' ò:ni' enwa'nikonhrò:kten', nok nahskanéktshera' eh tho naiá:wen'ne' tentkà:ra'ne' natonhnhahráhtshera'.
<MOH id = 541 >	13 Tóka' iah thahsié:na' ne ka'nikonhrí:io, seri'wanóntha' ki' nè:'e ka'nikonhrharáhtshera'; íhtsher ka'nikonhrí:io ne ensa'niá:kenhte'.
<MOH id = 542 >	14 Tsi nahò:ten' eniesarihónnien' ne roti'nikonhrowá:nen's tsi shí:ken ní:ioht ne iohnáwerote' ne tsi sónhnhe' entkáhawe' natónhnhets. Eniesaia'takéhnha' nahse'niá:ken'ne' nó:nen ióthteron tá:we' tsi sónhnhe'.
<MOH id = 543 >	15 Iako'nikonhrowanáhtha' tenwatèn:tsha' ne ahskwénienhste', nok nónhka iah thaón:ton' naiontateniáhese' tho ki' nón: nihonathahitáhkhe' tsi nón:we nahontkarón:ni'.
 
<MOH id = 545 >	****** Result for Image/Page 28 ******

<MOH id = 549 >	16 Nón:kwe ne ronate'nikonhríson tiótkon enhonnonhtonnión:ko' nohén:ton thé:nen ken' niahatí:iere', nok ne iah tha'tehoti'nikonhráthe' tehonterihwarenià:tha' nen' nè:'e tsi iah tehonte'nikonhrattókha'.
<MOH id = 550 >	17 Nónhka ratirihwenhá:wi ne iah tehsheniahé:sen, nek entkáhawe' ne ka'nikonhrharáhtshera', nok ne ónhka sheniahé:sen entkáhawe' ne skén:nen.
<MOH id = 551 >	18 Nónhka ne kwah iah tha'tehonatonhontsó:ni nahatiweientéhta'ne' eniakoténhton tánon' eniontatéha'te'. Nónhka eniontahónhsatate' ne aiakorihwakwarihsiónhake' eniontatkwénienhste' ki'.
<MOH id = 552 >	19 Ion'wé:sen nahsié:na' nahò:ten' sahská:neks! Nón:kwe ne tehonatenonhwarorì:tonte' iah tehonthón:tats é:ren ahón:nehte' ne karihwaneren'èn:ke.
<MOH id = 553 >	20 Skátne sewé:shek ne ronttókha' í:se' ò:ni' ensattókha'ne'. Tóka' enhsatenro'serón:ni' ne iah tehonte'nikonhrattókha' eniesakarón:ni'.
<MOH id = 554 >	21 Ka'nikonhrharáhtshera' rotíhsere's ne rotirihwanéren tsik nón:we nienhón:ne', nok ne thotirihwaié:ri tenhonaterihwa'serákwahse' tsi nahò:ten' ioianerè:shon.
<MOH id = 555 >	22 Thonnonkwe'taié:ri nó:nen enhonníheie' né:ne shakonatere'okòn:'a enhatiié:na' ne raonatsho'kowáhtshera', nok ne iah tetionkwe'taié:ri nó:nen enhonníheie' ne raonatsho'kowáhtshera' nen' nè:'e enhatiié:na' ne tionkwe'taié:ri.
<MOH id = 556 >	23 Kahéhta' ne iah tewátston é:so aontaióha ne atennà:tshera' raotirihwà:ke ne rotitenhténion, nok kí:ken iah tethotirihwaié:ri ratíhnhes nahatiiéntho'.
<MOH id = 557 >	24 Tóka' iah thahshehré:wahte' sheien'okòn:'a, iah ki' tehshenorónhkhwa'. Tóka' shenorónhkhwa' enhsherihwakwaríhsien' ki'.
<MOH id = 559 >	25 Ne thotirihwaié:ri tiótkon rotí:ien nahò:ten' ahón:neke', nok ne iah tethotirihwaié:ri tiótkon rontonhkária’ks.
<MOH id = 560 >	
<MOH id = 561 >	
<MOH id = 562 >	14 Kahwá:tsire' tsi nón:we nihatì:teron tóka' ionte'nikonhrattókha' ne tiakoniarotáhrhon akwé:kon ki' ronatonhnháhere' tánon' rotiia'tahní:ron. 
<MOH id = 563 >	 
<MOH id = 564 >	****** Result for Image/Page 29 ******

<MOH id = 567 >	Tóka' ne iakón:kwe iah teionte'nikonrattókha' enkahwatsirahríhsi' ki'.
<MOH id = 568 >	2 Sarihwakwarihsiónhak tánon' wè:ne' són:ni tsi tsherihwakweniénhstha' Roiá:ner; tóka' iah tesarihwakwaríhsion wè:ne' són:nis tsi iah tehtsherihwakweniénhstha'.
<MOH id = 570 >	3 Ratiná:ie' tehonatenonhwarorì:tonte' só:tsi é:so rontá:tis; raotiwenna'shòn:'a ne ronttókha' ne enhotiia'tanónhstate'.
<MOH id = 571 >	4 Tóka' iah tesanáhskwaien ne tiohnhónskwaron rá:tsin ne aontahatihéntho' ie'tarakahrhathóhstha' iah ki' thé:nen thakaién:take' tsi senekeraientáhkhwa', tóka' sanáhskwaien tentkà:rake' ne ká:nen.
<MOH id = 572 >	5 Nónhka sheniahé:sen naierihwahní:rate' iah ki' thaionnó:wenhte', nónhka ne iah tehsheniahé:sen nek nen' nè:'e enionnowenhtánion'.
<MOH id = 573 >	6 Nón:kwe ne iontatkweniénhstha' iah nonwén:ton tha'taiako'nikonhráthe'ne', nónhka ionte'nikonhrattókha' watié:sen naieweientéhta'ne'.
<MOH id = 574 >	7 É:ren í:seht tsi nón:we nihón:ne's ne tehonatenonhwarorì:tonte' iah othé:nen tehotí:ien nahò:ten' aiesarihónnien'.
<MOH id = 575 >	8 Oh nontié:ren ne rattókha' tsi teiako'nikonhráthe'? Né: tsi roterièn:tare' tsi nihatiéhrha'. Oh nontié:ren ne iah tha'teho'nikonhráthe' tsi tehotenonhwarorì:tonte'? Né: tsi ì:rehre' raonhà:'ak roterièn:tare'.
<MOH id = 577 >	9 Nón:kwe tehonatenonhwarorì:tonte' iah othé:nen tehontsterístha' nahatirihwanéra'ke', nok ne tionkwe'taié:ri tehonatonhwentsó:ni naonsahonwati'nikónhrhen'se'.
<MOH id = 578 >	10 Satonhnhahráhtshera' í:se' khok sá:wen; nahò:ten' ne iotská:ra í:se' khok sá:wen. Iah ónhka tha'taieseniié:na'.
<MOH id = 579 >	11 Nón:kwe tiakorihwaié:ri akonónhsa' shé:kon enká:take' nok ne iakorihwanera'ákskon ó:nen nen' nè:'e teniakotenonhsarenién:ni.
<MOH id = 580 >	12 Tsi nahò:ten' sanonhtónnions íhsehre' tkaié:ri tsi nón: sathahitáhkhe' tóka' nòn:wa tho nón: iensaia'ténhawe' tsi nón:we ne kenheià:thne.	 

<MOH id = 582 >	****** Result for Image/Page 30 ******

<MOH id = 585 >	13 Kaieshónhtshera'/kasteristáhtshera' tóka' nòn:wa enwáhsehte' ne ka'nikonhraksénhtshera'. Nó:nen enwatóhetste' ne atonhnhahráhtshera' nek ne ia'tentsotá:tenre' naiesa'nikonhráksen'.
<MOH id = 586 >	14 Nón:kwe ne iah tetiakorihwaié:ri enieié:na' tsi nahò:ten' teiakotèn:tshon. Nok ne tionkwe'taié:ri teniakoterihwa'serákwahse' tsi nahò:ten' iakoio'tèn:'en.
<MOH id = 587 >	15 Rononhwaró:ri tsik nahò:ten' enthréhtahkwe'; nok ne tehoti'nikonhráthe' rati'nikòn:rare' tsi niahonenonhátie'.
<MOH id = 588 >	16 Nón:kwe tehoti'nikonhráthe' rati'nikòn:rare' tóhsa tahati'nióhsken'ne', nok ne iah tha'tehoti'nikonhráthe' iah thia'tehonnonhtónnions só:tsi tehotihsterihèn:tskon.
<MOH id = 589 >	17 Nón:kwe ne ratina'kwahseró:hen's teiotenonhwarorì:tonte' tsi nenhontieránion'; ok ne tehoti'nikonhráthe' tha'tehonató:te'.
<MOH id = 590 >	18 Nón:kwe ne iah tekarihonnién:ni ononhwarori'tó:kon tehontawénrie's tehonatèn:tshon tsi nahò:ten' enhatiié:na', nok ne ronttókha' tenhonaterihwa'serákwahse' ne karihonnienníhtshera'.
<MOH id = 591 >	19 Nón:kwe ne iah tethotirihwaié:ri tenhontshà:kete' raotihén:ton ne thotirihwaié:ri tánon' enhonwati'né:ken' ne nahonwatiia'takéhnha'.
<MOH id = 592 >	20 Iah ónhka tehonwatinòn:we's ne rotí:ten iah ò:ni' ne tehonnonhsané:ken, nok ne rotikwátshe' ronatenro'serakà:te'.
<MOH id = 593 >	21 Tóka' tesatonhwentsó:ni naiesatonhnhà:rake', shé:tenr ne iakó:ten; karihwáksen nónhka ahshekèn:ron'.
<MOH id = 594 >	22 Tenhsatèn:tsha' ne aiesaniáhese' tánon' aiesakwénienhste' nakorèn:shon tóka' ne ensaió'ten' ne tkarihwaié:ri. Tóka' ne ensaió'ten' ne io'táksen, kwah tokèn:'en tenhsaterien'tawénrie'.
<MOH id = 595 >	23 Saió'ten tánon' tenhsatèn:tsha' nahsonhnhéhkwen; tóka' nek ne enhsitskó:take' nek ne sáhthare' ensenténhton ki'.
<MOH id = 596 >	24 Nón:kwe ne ionte'nikonhrattókha' kakwatshéhsera' teniakoterihwa'serákwahse', nok ne rotinonhwaró:ri tho ní:ioht tsi ronwatiienté:ri tsi tehonatenonhwarorì:tonte'.
<MOH id = 597 >	25 Nónhka naierihwaié:rite' naionthró:ri' norihwí:io enienónhstate' natónhnhets; nó:nen enionnó:wenhte' enhshakonatenhní:non' nón:kwe.

<MOH id = 600 >	****** Result for Image/Page 31 ******

<MOH id = 603 >	26 Nahonwakwénienhste' ne Roiá:ner tkáhas ne rón:kwe skén:nen ahanonhtonniónheke' ok ò:ni' raohwá:tsire'.
<MOH id = 604 >	27 Tesatonhwentsó:ni ken ahse'niá:ken'ne' ne kenhé:ion? Ehtskweniénhsthak ne Roiá:ner ase'kénh ne thatkà:was natónhnhets.
<MOH id = 605 >	28 Ronontí:io rao'shatsténhsera' ne tkawenní:io tó: niiá:kon nón:kwe shakohá:wi; tóka' iah káneka nón:kwe iah ki' othé:nen teharihwáhsta.
<MOH id = 606 >	29 Tóka' sa'nikonhrí:io, tesa'nikonhráthe' ki', tóka' sena'kwahseró:hen, nek ne enhshena'tón:hahse' tsi tesatenonhwarorì:tonte'.
<MOH id = 607 >	30 Nanonhtonniónhtshera' skén:nen tkáhas naiesata'karí:teke', nok ne aten'kehwháhtshera' ne shà:ka ne takwa'áhson.
<MOH id = 608 >	31 Tóka' enhshetenhstéhten' ne iakotenhténion, enhtshe'nikonhrakaré:wahte' Rawenní:io ne shakoia'tíson; tóka' tenhsheiahrhò:ton' ne iakó:ten Rawenní:io enhtshennó:wanahte'.
<MOH id = 609 >	32 Nón:kwe ne rotirihwanera'ákskon ronónha enhontatenón:waien' né: tsi karihwáksen tsi nihontiéhrha', nok ne tionkwe'taié:ri enhotiia'tanónhstate' né: tsi ronatonkwe'takwaríhsion.
<MOH id = 610 >	33 Attokháhtshera' eh tho í:wa raoti'nikòn:rakon ne tehoti'nikonhráthe' nok ne tehonatenonhwarorì:tonte' iah othé:nen tehonaterièn:tare' nahò:ten' nen' nè:'e nattokháhtshera'.
<MOH id = 611 >	34 Nón:kwe tiakorihwaié:ri ne ión:nis ne kanakerahserá:kon enkanakerahseriióhake' ki'; karihwanéren tkáhas atehénhsera' ne kanakerahserá:kon.
<MOH id = 612 >	35 Rotinontí:io's ronatshennón:ni nó:nen ne ronateríhonte' thatiié:rits tsi nihontiéhrha', nok ne iah tethatiié:rits enhshakotihré:wahte'.
<MOH id = 613 >	
<MOH id = 614 >	
<MOH id = 615 >	15 Tóka' skenèn:'a tsi tenhserihwa'será:ko' shaht/shakt enwá:ton' ne kana'khwénhtshera', nok ne kana'khwenhserá:kon
<MOH id = 616 >	nowén:na' sénha eniakona'kón:ni'.
